时间,CPU使用率,内存使用率,状态
2025-11-28 18:25:46,连接失败,连接失败,异常
2025-11-28 18:25:51,连接失败,连接失败,异常
2025-11-28 18:25:56,连接失败,连接失败,异常
2025-11-28 18:26:01,连接失败,连接失败,异常
2025-11-28 18:26:06,连接失败,连接失败,异常
2025-11-28 18:26:11,连接失败,连接失败,异常
2025-11-28 18:26:19,连接失败,连接失败,异常
2025-11-28 18:26:22,连接失败,连接失败,异常
2025-11-28 18:26:26,连接失败,连接失败,异常
2025-11-28 18:26:31,连接失败,连接失败,异常
2025-11-28 18:26:53,连接失败,连接失败,异常
2025-11-28 18:26:58,连接失败,连接失败,异常
2025-11-28 18:27:05,连接失败,连接失败,异常
2025-11-28 18:28:40,连接失败,连接失败,异常
2025-11-28 18:28:45,连接失败,连接失败,异常
2025-11-28 18:28:50,连接失败,连接失败,异常
2025-11-28 18:28:53,连接失败,连接失败,异常
2025-11-28 18:28:58,连接失败,连接失败,异常
2025-11-28 18:29:03,连接失败,连接失败,异常
2025-11-28 18:29:06,连接失败,连接失败,异常
2025-11-28 18:29:13,连接失败,连接失败,异常
2025-11-28 18:29:18,连接失败,连接失败,异常
2025-11-28 18:29:19,连接失败,连接失败,异常
2025-11-28 18:29:28,连接失败,连接失败,异常
2025-11-28 18:29:32,连接失败,连接失败,异常
2025-11-28 18:29:35,连接失败,连接失败,异常
2025-11-28 18:29:40,连接失败,连接失败,异常
2025-11-28 18:29:45,连接失败,连接失败,异常
2025-11-28 18:29:53,连接失败,连接失败,异常
2025-11-28 18:29:58,连接失败,连接失败,异常
2025-11-28 18:30:04,连接失败,连接失败,异常
2025-11-28 18:30:09,连接失败,连接失败,异常
2025-11-28 18:30:11,连接失败,连接失败,异常
2025-11-28 18:30:16,连接失败,连接失败,异常
2025-11-28 18:30:21,连接失败,连接失败,异常
2025-11-28 18:30:24,连接失败,连接失败,异常
2025-11-28 18:41:02,10.8%,11.5%,正常
2025-11-28 18:41:07,10.8%,11.6%,正常
2025-11-28 18:41:12,5.9%,11.6%,正常
2025-11-28 18:41:17,8.8%,11.6%,正常
2025-11-28 18:41:21,5.9%,11.6%,正常
2025-11-28 18:41:27,8.6%,11.5%,正常
2025-11-28 18:41:32,13.5%,11.5%,正常
2025-11-28 18:41:37,13.9%,11.5%,正常
2025-11-28 18:41:42,8.6%,11.7%,正常
2025-11-28 18:41:47,13.9%,11.7%,正常
2025-11-28 18:41:52,11.1%,11.7%,正常
2025-11-28 18:41:57,8.8%,11.7%,正常
2025-11-28 18:42:01,8.8%,11.7%,正常
2025-11-28 18:42:02,8.6%,11.7%,正常
2025-11-28 18:42:07,8.6%,11.7%,正常
2025-11-28 18:42:08,11.1%,11.7%,正常
2025-11-28 18:42:12,11.1%,11.7%,正常
2025-11-28 18:42:13,11.1%,11.7%,正常
2025-11-28 18:42:17,11.1%,11.7%,正常
2025-11-28 18:42:19,8.3%,11.7%,正常
2025-11-28 18:42:22,8.6%,11.7%,正常
2025-11-28 18:42:24,8.3%,11.7%,正常
2025-11-28 18:42:27,10.8%,11.7%,正常
2025-11-28 18:42:29,13.2%,11.7%,正常
2025-11-28 18:42:32,10.8%,11.7%,正常
2025-11-28 18:42:34,11.1%,11.7%,正常
2025-11-28 18:42:37,8.1%,11.7%,正常
2025-11-28 18:42:38,11.1%,11.7%,正常
2025-11-28 18:42:42,5.9%,11.7%,正常
2025-11-28 18:42:44,13.2%,11.7%,正常
2025-11-28 18:42:47,8.6%,11.7%,正常
2025-11-28 18:42:49,8.3%,11.7%,正常
2025-11-28 18:42:52,6.1%,11.8%,正常
2025-11-28 18:42:56,8.6%,11.8%,正常
2025-11-28 18:43:03,13.5%,11.7%,正常
2025-11-28 18:43:08,13.5%,11.7%,正常
2025-11-28 18:43:13,8.3%,11.7%,正常
2025-11-28 18:43:15,10.8%,11.7%,正常
2025-11-28 18:43:18,13.5%,11.7%,正常
2025-11-28 18:43:23,8.6%,11.5%,正常
2025-11-28 18:43:28,11.1%,11.6%,正常
2025-11-28 18:43:30,8.8%,11.6%,正常
2025-11-28 18:43:33,11.1%,11.6%,正常
2025-11-28 18:43:38,10.8%,11.6%,正常
2025-11-28 18:43:43,10.8%,11.6%,正常
2025-11-28 18:43:48,11.1%,11.6%,正常
2025-11-28 18:43:53,8.3%,11.6%,正常
2025-11-28 18:43:58,8.6%,11.7%,正常
2025-11-28 18:44:01,5.9%,11.7%,正常
2025-11-28 18:44:06,11.1%,11.7%,正常
2025-11-28 18:44:12,5.7%,11.6%,正常
2025-11-28 18:44:14,10.8%,11.7%,正常
2025-11-28 18:44:16,8.3%,11.7%,正常
2025-11-28 18:44:21,5.7%,11.8%,正常
2025-11-28 18:44:26,37.2%,11.8%,正常
2025-11-28 18:44:28,13.5%,11.8%,正常
2025-11-28 18:44:32,8.6%,11.8%,正常
2025-11-28 18:44:44,13.2%,11.6%,正常
2025-11-28 18:44:56,8.3%,11.5%,正常
2025-11-28 18:45:07,60.0%,12.2%,正常
2025-11-28 18:45:08,11.1%,11.6%,正常
2025-11-28 18:45:17,8.3%,11.5%,正常
2025-11-28 18:45:20,10.5%,11.6%,正常
2025-11-28 18:45:27,58.3%,12.1%,正常
2025-11-28 18:45:28,13.2%,11.6%,正常
2025-11-28 18:45:50,11.1%,11.5%,正常
2025-11-28 18:45:56,11.1%,11.5%,正常
2025-11-28 18:46:01,8.6%,11.6%,正常
2025-11-28 18:46:06,11.1%,11.7%,正常
2025-11-28 18:46:11,58.3%,12.1%,正常
2025-11-28 18:46:13,11.1%,11.8%,正常
2025-11-28 18:46:21,5.9%,11.6%,正常
2025-11-28 18:46:26,15.4%,11.7%,正常
2025-11-28 18:46:31,8.3%,11.7%,正常
2025-11-28 18:46:34,11.1%,11.7%,正常
2025-11-28 18:46:41,8.3%,11.5%,正常
2025-11-28 18:46:46,17.1%,11.7%,正常
2025-11-28 18:46:48,10.8%,11.6%,正常
2025-11-28 18:46:51,8.6%,11.7%,正常
2025-11-28 18:46:56,59.5%,11.8%,正常
2025-11-28 18:46:56,11.1%,11.7%,正常
2025-11-28 18:47:06,11.1%,11.5%,正常
2025-11-28 18:47:11,10.8%,11.8%,正常
2025-11-28 18:47:16,11.1%,11.8%,正常
2025-11-28 18:47:18,13.2%,11.8%,正常
2025-11-28 18:47:26,11.1%,11.5%,正常
2025-11-28 18:47:31,5.7%,11.6%,正常
2025-11-28 18:47:36,8.6%,11.6%,正常
2025-11-28 18:47:40,10.8%,11.7%,正常
2025-11-28 18:47:45,6.1%,11.6%,正常
2025-11-28 18:47:48,11.1%,11.6%,正常
