时间,CPU使用率,内存使用率,状态
2025-11-28 18:47:51,13.2%,11.7%,正常
2025-11-28 18:47:56,12.8%,11.7%,正常
2025-11-28 18:48:02,55.9%,11.7%,正常
2025-11-28 18:48:02,8.6%,11.6%,正常
2025-11-28 18:48:12,8.8%,11.6%,正常
2025-11-28 18:48:17,13.9%,11.8%,正常
2025-11-28 18:48:22,10.8%,11.8%,正常
2025-11-28 18:48:24,8.6%,11.8%,正常
2025-11-28 18:48:32,5.9%,11.6%,正常
2025-11-28 18:48:37,8.6%,11.5%,正常
2025-11-28 18:48:42,11.4%,11.6%,正常
2025-11-28 18:48:46,17.6%,11.6%,正常
2025-11-28 18:48:48,13.5%,11.7%,正常
2025-11-28 18:48:52,15.4%,11.7%,正常
2025-11-28 18:48:58,10.8%,11.7%,正常
2025-11-28 18:49:03,8.3%,11.8%,正常
2025-11-28 18:49:08,6.1%,11.8%,正常
2025-11-28 18:49:13,11.1%,11.8%,正常
2025-11-28 18:49:18,8.6%,11.8%,正常
2025-11-28 18:49:23,8.6%,11.8%,正常
2025-11-28 18:49:28,77.1%,12.0%,正常
2025-11-28 18:49:30,45.9%,11.8%,正常
2025-11-28 18:49:38,8.8%,11.6%,正常
2025-11-28 18:49:43,8.8%,11.7%,正常
2025-11-28 18:49:48,20.5%,11.8%,正常
2025-11-28 18:49:48,21.1%,11.7%,正常
2025-11-28 18:49:50,60.0%,12.0%,正常
2025-11-28 18:49:52,13.5%,11.7%,正常
2025-11-28 18:50:00,13.5%,11.7%,正常
2025-11-28 18:50:05,8.8%,11.7%,正常
2025-11-28 18:50:10,18.9%,11.9%,正常
2025-11-28 18:50:10,23.1%,11.9%,正常
2025-11-28 18:50:13,61.1%,12.2%,正常
2025-11-28 18:50:14,8.3%,11.8%,正常
2025-11-28 18:50:22,6.1%,11.6%,正常
2025-11-28 18:50:30,84.6%,12.1%,正常
2025-11-28 18:50:30,82.5%,12.1%,正常
2025-11-28 18:50:30,97.4%,12.0%,正常
2025-11-28 18:50:30,92.5%,11.9%,正常
2025-11-28 18:50:32,8.3%,11.8%,正常
2025-11-28 18:50:48,25.7%,11.8%,正常
2025-11-28 18:50:48,33.3%,11.7%,正常
2025-11-28 18:50:52,92.1%,11.9%,正常
2025-11-28 18:50:52,72.2%,11.9%,正常
2025-11-28 18:50:53,73.7%,11.9%,正常
2025-11-28 18:50:53,11.1%,11.9%,正常
2025-11-28 18:51:10,47.2%,11.8%,正常
2025-11-28 18:51:10,45.7%,11.7%,正常
2025-11-28 18:51:15,92.7%,11.9%,正常
2025-11-28 18:51:15,41.2%,11.8%,正常
2025-11-28 18:51:15,50.0%,11.8%,正常
2025-11-28 18:51:17,5.7%,11.8%,正常
2025-11-28 18:51:32,42.9%,11.8%,正常
2025-11-28 18:51:32,51.4%,11.7%,正常
2025-11-28 18:51:37,61.1%,12.3%,正常
2025-11-28 18:51:37,13.5%,11.7%,正常
2025-11-28 18:51:42,5.9%,11.7%,正常
2025-11-28 18:51:47,11.1%,11.8%,正常
2025-11-28 18:52:48,8.3%,11.8%,正常
2025-11-28 18:53:00,8.3%,11.8%,正常
2025-11-28 18:53:12,8.6%,11.7%,正常
2025-11-28 18:53:24,11.1%,11.7%,正常
2025-11-28 18:53:29,11.4%,11.8%,正常
2025-11-28 18:53:34,13.2%,11.8%,正常
2025-11-28 18:53:36,10.8%,11.8%,正常
2025-11-28 18:53:44,11.4%,11.7%,正常
2025-11-28 18:53:48,12.8%,11.8%,正常
2025-11-28 18:53:54,8.6%,11.6%,正常
2025-11-28 18:53:59,60.0%,12.3%,正常
2025-11-28 18:53:59,6.1%,11.7%,正常
2025-11-28 18:54:09,11.1%,11.7%,正常
2025-11-28 18:54:28,8.6%,11.7%,正常
2025-11-28 18:55:28,5.9%,11.6%,正常
2025-11-28 18:55:53,8.6%,11.7%,正常
2025-11-28 18:56:05,11.1%,11.6%,正常
2025-11-28 18:56:17,15.4%,11.7%,正常
2025-11-28 18:56:23,5.9%,11.6%,正常
2025-11-28 18:56:29,57.1%,11.7%,正常
2025-11-28 18:56:29,23.7%,11.7%,正常
2025-11-28 18:56:38,11.4%,11.7%,正常
2025-11-28 18:56:41,8.6%,11.8%,正常
2025-11-28 18:56:48,14.3%,11.8%,正常
2025-11-28 18:56:53,8.3%,11.8%,正常
2025-11-28 18:56:56,10.8%,11.9%,正常
2025-11-28 18:57:08,8.6%,11.8%,正常
2025-11-28 18:57:15,8.6%,11.7%,正常
2025-11-28 18:57:20,13.5%,11.8%,正常
2025-11-28 18:57:25,13.5%,11.8%,正常
2025-11-28 18:57:29,10.8%,11.8%,正常
2025-11-28 18:57:34,10.8%,11.9%,正常
2025-11-28 18:57:39,10.8%,11.9%,正常
2025-11-28 18:57:44,8.6%,11.9%,正常
2025-11-28 18:57:49,16.7%,11.9%,正常
2025-11-28 18:57:54,5.7%,11.8%,正常
2025-11-28 18:57:59,8.3%,11.9%,正常
2025-11-28 18:58:04,11.1%,11.9%,正常
2025-11-28 18:58:06,15.4%,11.9%,正常
2025-11-28 18:58:09,11.1%,11.9%,正常
2025-11-28 18:58:14,14.3%,11.9%,正常
2025-11-28 18:58:16,13.5%,11.9%,正常
2025-11-28 18:58:21,5.9%,11.9%,正常
2025-11-28 18:58:26,8.1%,11.9%,正常
2025-11-28 18:58:31,8.3%,11.9%,正常
2025-11-28 18:58:36,8.3%,11.9%,正常
2025-11-28 18:58:41,8.3%,11.9%,正常
2025-11-28 18:58:46,5.9%,11.9%,正常
2025-11-28 18:58:51,29.7%,11.9%,正常
2025-11-28 18:58:56,8.3%,11.9%,正常
2025-11-28 18:59:01,8.6%,11.9%,正常
2025-11-28 18:59:06,5.9%,11.9%,正常
2025-11-28 18:59:11,10.8%,11.9%,正常
2025-11-28 18:59:16,11.1%,11.9%,正常
2025-11-28 18:59:21,8.8%,11.9%,正常
2025-11-28 18:59:26,11.1%,11.9%,正常
2025-11-28 18:59:31,25.7%,11.9%,正常
2025-11-28 18:59:36,11.1%,11.9%,正常
2025-11-28 18:59:41,5.7%,11.9%,正常
2025-11-28 18:59:46,8.6%,11.9%,正常
2025-11-28 18:59:51,5.9%,11.9%,正常
2025-11-28 18:59:56,11.1%,11.9%,正常
2025-11-28 19:00:01,8.8%,11.9%,正常
2025-11-28 19:00:06,5.9%,11.6%,正常
2025-11-28 19:00:11,11.1%,11.7%,正常
2025-11-28 19:00:16,10.8%,11.7%,正常
2025-11-28 19:00:21,8.6%,11.9%,正常
2025-11-28 19:00:26,8.6%,12.0%,正常
2025-11-28 19:00:31,8.6%,12.0%,正常
2025-11-28 19:00:36,8.3%,12.0%,正常
2025-11-28 19:00:41,8.3%,12.0%,正常
2025-11-28 19:00:46,10.8%,12.0%,正常
2025-11-28 19:00:48,13.5%,12.0%,正常
2025-11-28 19:00:51,8.6%,12.0%,正常
2025-11-28 19:00:56,8.6%,12.0%,正常
2025-11-28 19:01:01,10.8%,12.0%,正常
2025-11-28 19:01:09,8.1%,11.8%,正常
2025-11-28 19:01:14,13.2%,11.9%,正常
2025-11-28 19:01:19,11.1%,12.0%,正常
2025-11-28 19:01:24,10.8%,12.0%,正常
2025-11-28 19:01:26,5.9%,12.0%,正常
2025-11-28 19:01:29,8.3%,12.0%,正常
2025-11-28 19:01:34,8.6%,12.0%,正常
2025-11-28 19:01:39,10.8%,12.0%,正常
2025-11-28 19:01:44,13.2%,12.0%,正常
2025-11-28 19:01:49,11.1%,12.1%,正常
2025-11-28 19:01:54,11.1%,12.0%,正常
2025-11-28 19:01:59,8.6%,12.0%,正常
2025-11-28 19:02:02,11.1%,12.0%,正常
2025-11-28 19:02:07,10.8%,12.0%,正常
2025-11-28 19:02:12,11.1%,12.0%,正常
2025-11-28 19:02:17,13.2%,12.0%,正常
2025-11-28 19:02:22,10.8%,12.0%,正常
2025-11-28 19:02:27,10.5%,12.0%,正常
2025-11-28 19:02:31,11.1%,12.1%,正常
2025-11-28 19:02:35,10.8%,12.1%,正常
2025-11-28 19:02:39,11.1%,12.1%,正常
2025-11-28 19:02:42,10.8%,12.1%,正常
2025-11-28 19:02:47,8.6%,12.1%,正常
2025-11-28 19:02:52,13.9%,12.0%,正常
2025-11-28 19:02:57,8.6%,12.1%,正常
2025-11-28 19:03:01,13.5%,12.0%,正常
2025-11-28 19:03:06,8.3%,12.0%,正常
2025-11-28 19:03:11,8.8%,12.1%,正常
2025-11-28 19:03:16,11.1%,12.0%,正常
2025-11-28 19:03:21,10.8%,12.0%,正常
2025-11-28 19:03:26,13.9%,12.1%,正常
2025-11-28 19:03:31,21.6%,12.2%,正常
2025-11-28 19:03:36,12.1%,12.2%,正常
2025-11-28 19:03:41,13.9%,12.1%,正常
2025-11-28 19:03:46,13.5%,12.1%,正常
2025-11-28 19:03:51,11.1%,12.1%,正常
2025-11-28 19:03:56,17.6%,12.1%,正常
2025-11-28 19:04:01,64.1%,12.1%,正常
2025-11-28 19:04:06,100.0%,11.6%,正常
2025-11-28 19:04:11,24.3%,12.1%,正常
2025-11-28 19:04:16,11.1%,12.2%,正常
2025-11-28 19:04:21,22.2%,12.1%,正常
2025-11-28 19:04:26,11.8%,12.2%,正常
2025-11-28 19:04:31,8.6%,12.1%,正常
2025-11-28 19:04:36,16.2%,12.2%,正常
2025-11-28 19:04:41,8.6%,12.2%,正常
2025-11-28 19:04:46,65.8%,14.6%,正常
2025-11-28 19:04:51,8.6%,12.2%,正常
2025-11-28 19:04:57,92.5%,12.5%,正常
2025-11-28 19:05:01,100.0%,12.9%,正常
2025-11-28 19:05:07,94.9%,12.9%,正常
2025-11-28 19:05:11,10.8%,12.9%,正常
2025-11-28 19:05:16,11.1%,12.9%,正常
2025-11-28 19:05:21,11.1%,12.9%,正常
2025-11-28 19:05:26,13.2%,12.9%,正常
2025-11-28 19:05:31,13.5%,12.9%,正常
2025-11-28 19:05:36,13.5%,12.9%,正常
2025-11-28 19:05:41,11.1%,12.9%,正常
2025-11-28 19:06:00,10.8%,12.7%,正常
2025-11-28 19:06:05,10.8%,12.9%,正常
2025-11-28 19:06:10,8.1%,12.9%,正常
2025-11-28 19:06:15,8.3%,12.9%,正常
2025-11-28 19:06:21,8.3%,12.9%,正常
2025-11-28 19:06:25,13.2%,12.9%,正常
2025-11-28 19:06:31,8.3%,12.9%,正常
2025-11-28 19:06:35,8.6%,12.9%,正常
2025-11-28 19:06:40,8.6%,12.9%,正常
2025-11-28 19:06:45,8.3%,12.9%,正常
2025-11-28 19:06:50,11.1%,12.9%,正常
2025-11-28 19:06:55,10.3%,12.9%,正常
2025-11-28 19:07:01,10.8%,12.9%,正常
