时间,CPU使用率,内存使用率,状态
2025-11-28 19:02:04,10.8%,12.0%,正常
2025-11-28 19:02:09,8.3%,12.0%,正常
2025-11-28 19:02:14,12.8%,12.0%,正常
2025-11-28 19:02:19,10.8%,12.1%,正常
2025-11-28 19:02:24,8.3%,12.0%,正常
2025-11-28 19:02:29,8.3%,12.1%,正常
2025-11-28 19:02:33,10.8%,12.1%,正常
2025-11-28 19:02:37,11.1%,12.1%,正常
2025-11-28 19:02:41,11.1%,12.1%,正常
2025-11-28 19:02:44,10.8%,12.1%,正常
2025-11-28 19:02:49,8.3%,12.1%,正常
2025-11-28 19:02:54,8.6%,12.1%,正常
2025-11-28 19:02:58,11.1%,12.1%,正常
2025-11-28 19:03:02,16.7%,12.0%,正常
2025-11-28 19:03:07,33.3%,12.0%,正常
2025-11-28 19:03:12,3.1%,12.0%,正常
2025-11-28 19:03:17,19.4%,12.0%,正常
2025-11-28 19:03:22,8.6%,12.0%,正常
2025-11-28 19:03:27,23.7%,12.1%,正常
2025-11-28 19:03:32,22.9%,12.1%,正常
2025-11-28 19:03:36,21.1%,12.1%,正常
2025-11-28 19:03:42,15.6%,12.1%,正常
2025-11-28 19:03:47,25.0%,12.1%,正常
2025-11-28 19:03:52,29.4%,12.1%,正常
2025-11-28 19:03:57,69.4%,13.1%,正常
2025-11-28 19:04:02,57.9%,12.2%,正常
2025-11-28 19:04:07,61.1%,11.9%,正常
2025-11-28 19:04:12,20.6%,12.1%,正常
2025-11-28 19:04:17,26.3%,12.2%,正常
2025-11-28 19:04:22,13.9%,12.2%,正常
2025-11-28 19:04:27,13.9%,12.2%,正常
2025-11-28 19:04:32,16.7%,12.2%,正常
2025-11-28 19:04:37,11.1%,12.2%,正常
2025-11-28 19:04:42,64.3%,13.4%,正常
2025-11-28 19:04:47,60.0%,12.2%,正常
2025-11-28 19:04:52,65.8%,12.2%,正常
2025-11-28 19:04:58,100.0%,12.9%,正常
2025-11-28 19:05:02,100.0%,13.0%,正常
2025-11-28 19:05:08,55.6%,13.0%,正常
2025-11-28 19:05:12,13.9%,12.9%,正常
2025-11-28 19:05:17,3.2%,12.9%,正常
2025-11-28 19:05:22,11.1%,12.9%,正常
2025-11-28 19:05:27,11.4%,12.9%,正常
2025-11-28 19:05:32,8.6%,12.9%,正常
2025-11-28 19:05:37,11.4%,12.9%,正常
2025-11-28 19:05:42,11.1%,12.9%,正常
2025-11-28 19:06:01,10.8%,12.8%,正常
2025-11-28 19:06:06,10.8%,12.9%,正常
2025-11-28 19:06:11,10.8%,12.9%,正常
2025-11-28 19:06:16,8.6%,12.9%,正常
2025-11-28 19:06:22,13.2%,12.9%,正常
2025-11-28 19:06:26,8.6%,12.9%,正常
2025-11-28 19:06:32,5.6%,12.9%,正常
2025-11-28 19:06:36,11.1%,12.9%,正常
2025-11-28 19:06:42,10.8%,12.9%,正常
2025-11-28 19:06:47,11.1%,12.9%,正常
2025-11-28 19:06:51,10.8%,12.9%,正常
2025-11-28 19:06:56,8.3%,12.9%,正常
2025-11-28 19:07:02,11.1%,12.9%,正常
